Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Molar Volume at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Cu2O, Rb2O, Ag2O, Cs2O, Tl2O, MnO, FeO, CoO, NiO, CuO, ZnO, SrO, CdO, PbO, SnO, Molar Volume at RT ( cm3/mol )
167, GJ10-076185, J. American Ceramic Soc., 1971, v. 054  p. 0368, , 93.0, , , , , , , , , , 7.0, , , , , , , , , , , , , 34.87
168, GJ10-076187, J. American Ceramic Soc., 1971, v. 054  p. 0368, , 65.93, , , , , , , , , , 34.07, , , , , , , , , , , , , 29.71
169, GJ10-076188, J. American Ceramic Soc., 1971, v. 054  p. 0368, , 69.79, , , , , , , , , , 30.21, , , , , , , , , , , , , 29.35
170, GJ10-076189, J. American Ceramic Soc., 1971, v. 054  p. 0368, , 95.12, , , , , , , , , , 4.88, , , , , , , , , , , , , 36.22
171, GJ10-076190, J. American Ceramic Soc., 1971, v. 054  p. 0368, , 98.0, , , , , , , , , , 2.0, , , , , , , , , , , , , 37.31
172, GJ10-076634, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.65
173, GJ10-076635, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.33
174, GJ10-076636, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.33
175, GJ10-076637, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.17
176, GJ10-076638, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.1
177, GJ10-076639, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 31.94
178, GJ10-076640, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.54
179, GJ10-076641, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.33
180, GJ10-076642, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.28
181, GJ10-076643, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.1
182, GJ10-076644, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 31.94
183, GJ10-076645, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.59
184, GJ10-076646, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.47
185, GJ10-076647, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.35
186, GJ10-076648, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.23
187, GJ10-076649, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 75.0, , , , , , , , , , , , , , , , , , , , , , , 32.2
188, GJ10-076650, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 72.0, 3.0, , , , , , , , , , , , , , , , , , , , , , 32.85
189, GJ10-076651, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 70.0, 5.0, , , , , , , , , , , , , , , , , , , , , , 32.95
190, GJ10-076652, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 65.0, 10.0, , , , , , , , , , , , , , , , , , , , , , 33.45
191, GJ10-076653, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 60.0, 15.0, , , , , , , , , , , , , , , , , , , , , , 33.7
192, GJ10-076654, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 55.0, 20.0, , , , , , , , , , , , , , , , , , , , , , 34.2
193, GJ10-076655, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 50.0, 25.0, , , , , , , , , , , , , , , , , , , , , , 34.5
194, GJ10-076656, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 72.0, , , , , , , , , , , , , , , , , , , , , , , 33.0
195, GJ10-076657, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 70.0, , , , , , , , , , , , , , , , , , , , , , , 33.1
196, GJ10-076658, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 65.0, , , , , , , , , , , , , , , , , , , , , , , 33.5
197, GJ10-076659, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 60.0, , , , , , , , , , , , , , , , , , , , , , , 34.15
198, GJ10-076660, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 55.0, , , , , , , , , , , , , , , , , , , , , , , 34.5
199, GJ10-076661, J. American Ceramic Soc., 1985, v. 068  p. 0641, , 50.0, , , , , , , , , , , , , , , , , , , , , , , 35.1
200, GJ05-079370, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , , , , , , 26.0, , , , , , , , , , , 35.72
201, GJ05-079371, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , 5.0, , , , , 21.0, , , , , , , , , , , 35.0
202, GJ05-079372, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , 10.0, , , , , 16.0, , , , , , , , , , , 34.67
203, GJ05-079373, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , 15.0, , , , , 11.0, , , , , , , , , , , 34.18
204, GJ05-079374, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , 20.0, , , , , 6.0, , , , , , , , , , , 33.68
205, GJ05-079375, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , , 26.0, , , , , , , , , , , , , , , , 33.18
206, GJ05-079376, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , 5.0, , , , , , 21.0, , , , , , , , , , , 33.92
207, GJ05-079377, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , 10.0, , , , , , 16.0, , , , , , , , , , , 32.78
208, GJ05-079378, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , 15.0, , , , , , 11.0, , , , , , , , , , , 31.63
209, GJ05-079379, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , 20.0, , , , , , 6.0, , , , , , , , , , , 30.23
210, GJ05-079380, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , , 26.0, , , , , , , , , , , , , , , , , 28.7
211, GJ05-079381, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , 5.0, , , , , , , 21.0, , , , , , , , , , , 32.53
212, GJ05-079382, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , 10.0, , , , , , , 16.0, , , , , , , , , , , 30.61
213, GJ05-079383, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , 15.0, , , , , , , 11.0, , , , , , , , , , , 28.98
214, GJ05-079384, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , 20.0, , , , , , , 6.0, , , , , , , , , , , 27.36
215, GJ05-079385, Glass Physics & Chemistry, 1986, v. 012  p. 0238, *, *, , , , , 26.0, , , , , , , , , , , , , , , , , , 25.88
216, GJ35-084172, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 9.0, , , , , , , , , , , , , , , , , , , 35.1
217, GJ35-084173, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 8.0, , , , , , , , , , , , , , , , , , , 35.1
218, GJ35-084174, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 7.0, , , , , , , , , , , , , , , , , , , 35.1
219, GJ35-084175, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 6.0, , , , , , , , , , , , , , , , , , , 35.1
220, GJ35-084176, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 5.0, , , , , , , , , , , , , , , , , , , 35.1
221, GJ35-084177, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 4.0, , , , , , , , , , , , , , , , , , , 35.1
222, GJ35-084178, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 3.0, , , , , , , , , , , , , , , , , , , 35.1
223, GJ35-084179, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 2.0, , , , , , , , , , , , , , , , , , , 35.1
224, GJ35-084180, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , 1.0, , , , , , , , , , , , , , , , , , , 35.1
225, GJ35-084181, J. American Ceramic Soc., 1984, v. 067  p. 0557, , , , , , , , , , , , , , , , , , , , , , , , , 35.1
226, GJ02-088619, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 20.0, , , , , 20.0, , , , , , , , , , , , , , , , 25.5
227, GJ02-088620, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 17.5, , , , , 20.0, , , , , , , , , , , , , , 2.5, , 25.8
228, GJ02-088621, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 15.0, , , , , 20.0, , , , , , , , , , , , , , 5.0, , 25.9
229, GJ02-088622, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 10.0, , , , , 20.0, , , , , , , , , , , , , , 10.0, , 26.4
230, GJ02-088623, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 5.0, , , , , 20.0, , , , , , , , , , , , , , 15.0, , 26.7
231, GJ02-088624, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , 2.5, , , , , 20.0, , , , , , , , , , , , , , 17.5, , 27.0
232, GJ02-088625, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 66.63, , , , , , , , 16.68, , , , , , , , , , , , , , 16.68, , 27.0
233, GJ02-088626, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 49.99, , , 16.66, , , , , 16.66, , , , , , , , , , , , , , 16.67, , 24.9
234, GJ02-088627, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 52.17, , , 17.39, , , , , 17.39, , , , , , , , , , , , , , 13.04, , 24.9
235, GJ02-088628, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 54.54, , , 18.18, , , , , 18.18, , , , , , , , , , , , , , 9.09, , 25.1
236, GJ02-088629, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 60.0, , , , , , , , 20.0, , , , , , , , , , , , , , 20.0, , 27.3
237, GJ02-088630, J. Non-Crystalline Solids, 1984, v. 066  p. 0489, 57.14, , , 19.05, , , , , 19.05, , , , , , , , , , , , , , 4.76, , 25.2
238, GJ03-097665, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 57.97, , , , , 28.99, , , , , , , , , , , , , , , , , , , 35.5
239, GJ03-097666, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 57.97, , , , , 23.19, , , 5.8, , , , , , , , , , , , , , , , 35.5
240, GJ03-097667, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 57.97, , , , , 17.39, , , 11.59, , , , , , , , , , , , , , , , 35.5
241, GJ03-097668, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 59.0, , , , , 26.55, , , , , , , , , , , , , , , , , , , 8.64
242, GJ03-097669, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 60.06, , , , , 24.02, , , , , , , , , , , , , , , , , , , 8.26
243, GJ03-097670, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 57.97, , , , , 23.19, 5.8, , , , , , , , , , , , , , , , , , 8.15
244, GJ03-097671, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 57.97, , , , , 17.39, 11.59, , , , , , , , , , , , , , , , , , 7.95
245, GJ03-097672, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 50.06, , , , , 37.46, , , , , , , , , , , , , , , , , , , 8.86
246, GJ03-097673, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 50.92, , , , , 35.24, , , , , , , , , , , , , , , , , , , 8.85
247, GJ03-097674, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 51.8, , , , , 32.95, , , , , , , , , , , , , , , , , , , 8.76
248, GJ03-097675, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 52.73, , , , , 30.57, , , , , , , , , , , , , , , , , , , 8.7
249, GJ03-097676, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 53.68, , , , , 28.11, , , , , , , , , , , , , , , , , , , 8.62
250, GJ03-097677, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 54.67, , , , , 25.55, , , , , , , , , , , , , , , , , , , 8.54
251, GJ03-097678, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 45.71, , , , , 40.0, , , , , , , , , , , , , , , , , , , 9.02
252, GJ03-097679, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 45.71, , , , , 34.29, , , 5.71, , , , , , , , , , , , , , , , 9.15
253, GJ03-097680, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 45.71, , , , , 28.57, , , 11.43, , , , , , , , , , , , , , , , 9.33
254, GJ03-097681, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 46.51, , , , , 37.79, , , , , , , , , , , , , , , , , , , 8.99
255, GJ03-097682, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 47.34, , , , , 35.5, , , , , , , , , , , , , , , , , , , 8.83
256, GJ03-097683, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 48.19, , , , , 33.13, , , , , , , , , , , , , , , , , , , 8.78
257, GJ03-097684, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 49.08, , , , , 30.67, , , , , , , , , , , , , , , , , , , 8.65
258, GJ03-097685, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 50.0, , , , , 28.13, , , , , , , , , , , , , , , , , , , 8.65
259, GJ03-097686, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 50.96, , , , , 25.48, , , , , , , , , , , , , , , , , , , 8.65
260, GJ03-097687, J. Non-Crystalline Solids, 1980, v. 036  p. 1015, 51.95, , , , , 22.73, , , , , , , , , , , , , , , , , , , 8.65
261, GJ10-098001, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 60.0, 28.0, , , , , , , , , , , , , , , , , , , , , , *
262, GJ10-098002, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 60.0, 24.0, , , , , , , , , , , , , , , , , , , , , , *
263, GJ10-098003, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 60.0, 20.0, , , , , , , , , , , , , , , , , , , , , , *
264, GJ10-098004, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 60.0, 16.0, , , , , , , , , , , , , , , , , , , , , , *
265, GJ10-098005, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 68.0, 12.0, , , , , , , , , , , , , , , , , , , , , , *
266, GJ10-098006, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 63.0, 17.0, , , , , , , , , , , , , , , , , , , , , , *
267, GJ10-098007, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 58.0, 22.0, , , , , , , , , , , , , , , , , , , , , , *
268, GJ10-098008, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 53.0, 27.0, , , , , , , , , , , , , , , , , , , , , , *
269, GJ10-098009, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 47.0, 33.0, , , , , , , , , , , , , , , , , , , , , , *
270, GJ10-098010, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 65.0, 22.0, , , , , , , , , , , , , , , , , , , , , , 32.73
271, GJ10-098011, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 60.0, 22.0, , , , , , , , , , , , , , , , , , , , , , 33.13
272, GJ10-098012, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 56.0, 22.0, , , , , , , , , , , , , , , , , , , , , , 33.3
273, GJ10-098014, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 52.0, 22.0, , , , , , , , , , , , , , , , , , , , , , 33.48
274, GJ10-098015, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 59.0, 16.0, , , , , , , , , , , , , , , , , , , , , , 33.005
275, GJ10-098016, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 55.0, 20.0, , , , , , , , , , , , , , , , , , , , , , 33.355
276, GJ10-098017, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 51.0, 24.0, , , , , , , , , , , , , , , , , , , , , , 33.48
277, GJ10-098018, J. Non-Crystalline Solids, 1986, v. 084  p. 0086, , 47.0, 28.0, , , , , , , , , , , , , , , , , , , , , , 33.6
278, GJ10-113295, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 50.38, , , , , , , , , , , , , , , , , , , , , , , 31.8
279, GJ10-113296, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 55.04, , , , , , , , , , , , , , , , , , , , , , , 32.2
280, GJ10-113297, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 60.0, , , , , , , , , , , , , , , , , , , , , , , 32.8
281, GJ10-113298, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 65.29, , , , , , , , , , , , , , , , , , , , , , , 33.2
282, GJ10-113299, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 70.21, , , , , , , , , , , , , , , , , , , , , , , 33.9
283, GJ10-113300, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 75.44, , , , , , , , , , , , , , , , , , , , , , , 34.2
284, GJ10-113301, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 80.18, , , , , , , , , , , , , , , , , , , , , , , 34.9
285, GJ10-113302, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 85.19, , , , , , , , , , , , , , , , , , , , , , , 35.3
286, GJ10-113304, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 95.12, , , , , , , , , , , , , , , , , , , , , , , 37.0
287, GJ10-113306, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 65.0, , , , , , 35.0, , , , , , , , , , , , , , , , , 28.0
288, GJ10-113308, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 70.0, , , , , , 30.0, , , , , , , , , , , , , , , , , 28.7
289, GJ10-113309, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 75.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 29.8
290, GJ10-113310, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 80.0, , , , , , 20.0, , , , , , , , , , , , , , , , , 31.0
291, GJ10-113311, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 85.0, , , , , , 15.0, , , , , , , , , , , , , , , , , 32.3
292, GJ10-113312, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 90.0, , , , , , 10.0, , , , , , , , , , , , , , , , , 34.0
293, GJ10-113313, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 95.0, , , , , , 5.0, , , , , , , , , , , , , , , , , 35.3
294, GJ10-113314, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0151, , 100.0, , , , , , , , , , , , , , , , , , , , , , , 37.6
295, GI20-113476, Proc. ICG, 2001, v. 002  p. 0368, , , , , , , , , , , , , , , , , , , , , , , 50.0, , 39.7
296, GI20-113477, Proc. ICG, 2001, v. 002  p. 0368, , 5.0, , , , , , , , , , , , , , , , , , , , , 50.0, , 37.4
297, GI20-113478, Proc. ICG, 2001, v. 002  p. 0368, , 10.0, , , , , , , , , , , , , , , , , , , , , 50.0, , 35.8
298, GI27-113479, Proc. ICG, 2001, v. 002  p. 0368, , 15.0, , , , , , , , , , , , , , , , , , , , , 50.0, , 34.1
299, GI27-113480, Proc. ICG, 2001, v. 002  p. 0368, , 20.0, , , , , , , , , , , , , , , , , , , , , 50.0, , 32.3
300, GI27-113481, Proc. ICG, 2001, v. 002  p. 0368, , 25.0, , , , , , , , , , , , , , , , , , , , , 50.0, , 31.2
301, GI27-113482, Proc. ICG, 2001, v. 002  p. 0368, , , , , , , , , , , , , , , , , , , , , , , 55.0, , 38.6
302, GI27-113483, Proc. ICG, 2001, v. 002  p. 0368, , 5.0, , , , , , , , , , , , , , , , , , , , , 55.0, , 36.3
303, GI27-113484, Proc. ICG, 2001, v. 002  p. 0368, , 10.0, , , , , , , , , , , , , , , , , , , , , 55.0, , 34.6
304, GI27-113485, Proc. ICG, 2001, v. 002  p. 0368, , 15.0, , , , , , , , , , , , , , , , , , , , , 55.0, , 32.5
305, GJ05-115501, Applied Optics, 1990, v. 029  p. 3126, 20.0, 20.0, , , , , , 20.0, , , , , , , , , , , , , , , , , 31.02
306, GJ05-115502, Applied Optics, 1990, v. 029  p. 3126, 20.0, 20.0, , , , , , , 20.0, , , , , , , , , , , , , , , , 35.51
307, GJ28-150602, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , 11.11, , , , , , , , , , , , , , , , , , 24.6
308, GJ28-150603, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , 14.94, , , , , , , , , , , , , , , , , , 23.5
309, GJ28-150604, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , 19.99, , , , , , , , , , , , , , , , , , 22.2
310, GJ28-150605, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , 25.0, , , , , , , , , , , , , , , , , , 21.0
311, GJ28-150606, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , 30.72, , , , , , , , , , , , , , , , , , 20.0
312, GJ28-150607, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 5.26, , , , , , , , , , , , , , , , , 27.1
313, GJ28-150608, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 9.89, , , , , , , , , , , , , , , , , 26.0
314, GJ28-150609, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 14.94, , , , , , , , , , , , , , , , , 25.0
315, GJ28-150610, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 19.98, , , , , , , , , , , , , , , , , 24.0
316, GJ28-150611, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 25.0, , , , , , , , , , , , , , , , , 23.2
317, GJ28-150612, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , 30.72, , , , , , , , , , , , , , , , , 22.5
318, GJ28-150613, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 1.32, , , , , , , , , , , , , , , , 28.3
319, GJ28-150614, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 2.56, , , , , , , , , , , , , , , , 28.1
320, GJ28-150615, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 5.26, , , , , , , , , , , , , , , , 27.9
321, GJ28-150616, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 11.11, , , , , , , , , , , , , , , , 27.4
322, GJ28-150617, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 14.94, , , , , , , , , , , , , , , , 27.2
323, GJ28-150618, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 18.34, , , , , , , , , , , , , , , , 26.9
324, GJ28-150619, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , 21.21, , , , , , , , , , , , , , , , 26.7
325, GJ28-150620, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , 5.26, , , , , , , , , , , , , , 28.3
326, GJ28-150621, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , 11.73, , , , , , , , , , , , , , 28.1
327, GJ28-150622, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , 18.34, , , , , , , , , , , , , , 28.3
328, GJ28-150623, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , 25.79, , , , , , , , , , , , , , 28.4
329, GJ28-150624, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , 5.26, , , , , , , , , , , , 29.4
330, GJ28-150625, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , 11.11, , , , , , , , , , , , 29.7
331, GJ28-150626, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , 5.26, , , , , , , , , , , , , 27.1
332, GJ28-150627, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , 8.11, , , , , , , , , , , , , 26.5
333, GJ40-150628, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , 11.11, , , , , , , , , , , , , 25.7
334, GJ28-150629, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 2.56, , , , , , , , , , , 28.4
335, GJ40-150630, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 10.5, , , , , , , , , , , 27.7
336, GJ40-150631, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 15.51, , , , , , , , , , , 27.3
337, GJ40-150632, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 24.22, , , , , , , , , , , 26.8
338, GJ40-150633, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 32.45, , , , , , , , , , , 26.4
339, GJ40-150634, J. Non-Crystalline Solids, 1992, v. 144  p. 0128, , , , , , , , , , , , , , 32.45, , , , , , , , , , , 25.8
340, GJ02-152288, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.1, , , , , , 16.63, 16.63, 16.63, , , , , , , , , , , , , , , , 24.04
341, GJ02-152289, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.0, , , , , , 20.8, 14.6, 14.6, , , , , , , , , , , , , , , , 23.52
342, GJ02-152290, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.0, , , , , , 25.0, 12.5, 12.5, , , , , , , , , , , , , , , , 22.81
343, GJ02-152291, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.0, , , , , , 14.6, 20.8, 14.6, , , , , , , , , , , , , , , , 23.97
344, GJ02-152292, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.0, , , , , , 12.5, 25.0, 12.5, , , , , , , , , , , , , , , , 23.96
345, GJ02-152293, J. Non-Crystalline Solids, 1993, v. 162  p. 0225, 50.0, , , , , , 14.6, 14.6, 20.8, , , , , , , , , , , , , , , , 24.87
